市场,代码,名称,板块,细分行业,货币,最新价,今日最高,今日最低,今开,成交量,成交额,昨收,总股本,市盈率(动),市盈率(静),市盈率TTM,市净率,换手率%,涨跌幅%,涨跌额,总市值,流通市值,52周最高(前复权),52周最低(前复权)
港股,01368,特步国际,可选消费,运动服饰,HKD,3.67,3.785,3.655,3.78,3516869.0,12951365.0,3.78,2815096985.0,7.08,7.53,7.08,0.82,0.12,-2.91,-0.11,10331405935.0,10331405935.0,6.74,3.505
港股,01361,361度,可选消费,运动服饰,HKD,4.585,4.645,4.57,4.615,1509000.0,6954620.0,4.565,2167682000.0,6.31,7.59,6.31,0.76,0.07,0.44,0.02,9938821970.0,9938821970.0,6.805,3.798
港股,03998,波司登,可选消费,服装,HKD,4.31,4.42,4.3,4.42,5330406.0,23139168.0,4.415,11723292872.0,11.17,12.65,11.17,2.43,0.05,-2.38,-0.105,50527392278.0,50527392278.0,4.887,3.38
港股,01044,恒安国际,必选消费,个人护理及家居,HKD,22.02,22.44,21.86,22.3,1106000.0,24327318.0,22.22,1155320917.0,9.27,10.04,9.27,1.01,0.1,-0.9,-0.2,25440166592.0,25440166592.0,28.727,21.74
美股,KO,可口可乐,可选消费,饮料,USD,89.66,90.035,89.07,89.21,9889569.0,886979744.0,89.06,4302549243.0,26.95,29.43,26.95,10.67,0.23,0.67,0.6,385766565127.0,385766565127.0,91.99,65.67
美股,PEP,百事,可选消费,饮料,USD,141.07,141.29,139.99,140.66,5467312.0,770085536.0,139.72,1364891558.0,18.42,23.37,18.42,8.71,0.4,0.97,1.35,192545252087.0,192545252087.0,167.588,134.108
美股,MNST,怪物饮料,可选消费,饮料,USD,46.86,47.15,46.375,47.15,5280147.0,246887342.0,46.7,1958980000.0,43.14,48.18,43.14,9.8,0.27,0.34,0.16,91797802800.0,91797802800.0,49.97,31.01
美股,KDP,胡椒博士,可选消费,饮料,USD,32.18,32.545,31.96,32.22,8222931.0,265294145.0,31.88,1360826038.0,30.69,21.06,30.69,1.49,0.6,0.94,0.3,43791381903.0,43791381903.0,33.5,24.61
美股,HSY,好时,可选消费,零食,USD,179.05,184.1,179.0,182.2,821461.0,148019718.0,181.32,200925657.0,24.16,40.73,24.16,7.88,0.56,-1.25,-2.27,35975738886.0,26197189204.0,233.376,156.584
美股,STZ,星座品牌,可选消费,酒类,USD,130.69,132.92,130.53,132.61,2004871.0,263254572.0,131.43,170778434.0,12.23,13.23,12.23,2.7,1.17,-0.56,-0.74,22319033539.0,22315645663.0,164.62,124.57
